time,pitch,roll,yaw,ax,ay,az,gx,gy,gz,x,y,vx,vy
1732390483063,3.54778,-2.49744,4.57764e-05,-0.191041,-0.140891,3.91952,-0.117065,0.0078125,0,0,0,0,0
1732390483064,3.58795,-2.47685,-0.00125122,-0.0427246,-0.0507383,0.978073,0.114624,-0.354614,0,0,0,0,0
1732390483064,3.59859,-2.47634,-0.00128174,-0.0426817,-0.0701313,0.989506,0.124268,-0.0563965,0,0,0,0,0
1732390483064,3.5271,-2.47266,0.00012207,-0.043067,-0.0585022,0.993717,0.0640869,-0.0585938,0,0,0,0,0
1732390483064,3.48985,-2.48374,0.00117493,-0.0389853,-0.0546799,0.986044,-0.175415,0.200562,0,0,0,0,0
1732390483064,3.49475,-2.48994,0.00135803,-0.0429811,-0.0623798,0.993631,0.0610352,-0.113281,0,0,0,0,0
1732390483064,3.47452,-2.51515,0.00265503,-0.0351171,-0.0586185,0.990063,-0.178101,0.143799,0,0,0,0,0
1732390483064,3.48347,-2.53356,0.00294495,-0.04702,-0.0506859,0.989784,-0.0598145,-0.113647,0,0,0,0,0
1732390483064,3.48485,-2.51682,0.00297546,-0.0538578,-0.0777006,0.977024,0.00598145,0.134033,0,0,0,0,0
1732390483064,3.49983,-2.53409,0.00276184,-0.0392418,-0.0546846,0.993952,0.00476074,0.0710449,0,0,0,0,0
1732390483064,3.51335,-2.50943,0.00170898,-0.0428534,-0.062377,0.989677,0.0662842,0.0672607,0,0,0,0,0
1732390483064,3.42819,-2.51129,0.00363159,-0.00834179,-0.0435295,0.999363,0.126099,0.0693359,0,0,0,0,0
1732390483064,3.39973,-2.52592,0.00253296,-0.04702,-0.0506859,0.989784,-0.116089,0.271851,-0.434448,0,0,0,0
1732390483064,3.42891,-2.51766,0.00158691,-0.0427246,-0.0623741,0.985723,-0.00256348,-0.168213,0,0,0,0,0
1732390483064,3.45964,-2.51468,0.000701904,-0.0427246,-0.0623741,0.985723,0.0012207,-0.048584,0,0,0,0,0
1732390483064,3.19202,-2.56254,-0.0192719,-0.0231943,-0.0356531,1.09002,-0.514648,-0.461426,-1.86694,0,0,0,0
1732390483064,3.16328,-2.42227,-0.0610657,-0.0291119,-0.124578,0.96899,0.633911,0.244873,1.51086,0,0,0,0
1732390483064,3.96027,-2.65381,0.000595093,-0.0412283,-0.101134,0.965099,0.472534,-0.0697021,-1.73486,0,0,0,0
1732390483064,3.59241,-2.50132,-0.032135,-0.0471487,-0.00414371,0.963135,0.000976562,-0.314331,0.575806,0,0,0,0
1732390483064,3.3181,-2.55885,-0.015564,0.00349998,-0.399886,0.627449,-0.356445,-0.000732422,0.65332,0,0,0,0
1732390483064,3.49374,-2.65186,-0.0113373,-0.0505028,-0.0467405,0.973904,0.17981,-0.305786,0,0,0,0,0
1732390483064,3.46458,-2.62814,-0.0102692,-0.0534306,-0.0854502,0.968945,-0.303101,0.026001,0,0,0,0,0
1732390483064,3.4751,-2.60203,-0.0106201,-0.0432806,-0.0313549,0.982454,0.241333,-0.242798,0,0,0,0,0
1732390483064,3.30788,-2.71366,-0.00506592,0.0252285,-0.0983963,1.0865,0.507812,0.865479,-0.53479,0,0,0,0
1732390483064,3.25739,-2.56617,0.00305176,-0.00336266,-0.0164165,0.948713,-0.854248,-0.013916,0,0,0,0,0
1732390483064,3.30276,-2.56647,0.0228577,-0.0536442,-0.0466661,0.950031,-0.241089,0.086792,0,0,0,0,0
1732390483064,3.42323,-2.52856,0.0448456,-0.0747786,-0.0968237,1.0312,0.193115,-0.222656,1.3103,0,0,0,0
1732390483064,3.6714,-2.5395,0.0371399,-0.0350742,-0.101284,1.0168,0.418945,-0.428955,0,0,0,0,0
1732390483064,3.72194,-2.56317,0.145142,-0.130595,-0.0533485,1.03399,1.75122,-0.598877,5.67456,0,0,0,0
1732390483064,3.623,0,0,0,0,0,0,0,0,0,0,0,0
1732390483064,-2.49807,0.2547,-0.0468493,-0.0817137,1.00491,-0.576416,-2.25928,2.7511,0,0,2.3365e-05,-0.00475264,4.196
1732390483064,-2.71667,0.230301,-0.0629606,-0.15906,1.06982,-3.85339,-4.22595,-2.92358,0,0.00195312,-3.24249e-05,0.00924635,4.97917
1732390483064,-2.35127,0.349548,-0.000563622,-0.117346,1.04943,-8.75098,-13.6471,13.5936,0,0.00195312,0,0,6.42622
1732390483064,-1.63892,1.61031,-0.26197,-0.32643,0.91972,-17.2784,-24.3516,42.8297,0,0.00195312,-0.00028801,0.00639534,7.23303
1732390483064,-1.77211,3.58731,-0.140894,-0.138344,0.924759,-7.73682,-27.418,47.2002,0,0.00195312,0,0,6.85181
1732390483064,-2.39504,5.50128,-0.100443,-0.0575895,0.951929,25.5905,-16.702,40.2322,0,0.00195312,0,0,5.06021
1732390483064,-2.45141,7.06245,-0.0752916,-0.120107,1.06231,51.9263,-15.6748,35.877,0,0.00195312,0,0,3.31924
1732390483064,-2.35896,8.43475,-0.0210991,-0.136461,1.09175,45.3989,0.519287,37.4926,0,0.00195312,0,0,2.73273
1732390483064,-2.47999,10.0054,-0.0820656,-0.147253,1.16832,20.7264,1.75146,43.8871,0,0.00195312,0,0,2.8775
1732390483064,-3.19446,11.8335,-0.101254,-0.119665,1.01777,13.1128,3.47852,46.8247,0,0.00195312,0,0,3.11818
1732390483064,-3.68961,13.7025,-0.0811462,-0.139345,1.01414,16.0325,6.69434,50.1174,0,0.00195312,0,0,3.09531
1732390483064,-4.23294,15.7538,-0.0314407,-0.132245,0.925179,23.3972,16.517,54.1567,0,0.00195312,0,0,2.7252
1732390483064,-4.86382,17.8808,-0.0909967,-0.108101,0.935303,26.9916,19.4945,58.4709,0,0.00195312,0,0,2.09393
1732390483064,-5.81812,20.298,-0.0873432,-0.0848923,0.928059,20.3545,26.3802,66.814,0,0.00195312,0,0,2.04749
1732390483064,-6.65451,22.9585,-0.0590935,-0.139727,1.05853,9.55457,24.4246,71.6252,0,0.00195312,0,0,2.6898
1732390483064,-7.80592,25.8219,-0.157947,-0.114861,0.952349,-8.75317,20.7679,74.0981,0,0.00195312,0,0,3.11557
1732390483064,-9.14278,28.8179,-0.127261,-0.0300131,0.915894,-16.7891,26.0708,74.4514,0,0.00195312,0,0,3.25813
1732390483064,-10.3082,31.777,-0.154634,-0.122688,0.976049,-5.61658,26.6541,73.908,0,0.00195312,0,0,3.65886
1732390483064,-10.7716,34.8093,-0.0836258,-0.0618162,1.03958,-22.0468,22.7556,81.9077,0,0.00195312,0,0,3.53119
1732390483064,-10.8105,38.372,-0.141386,0.0205441,0.956093,-30.1271,10.0928,86.959,0,0.00195312,0,0,2.86572
1732390483064,-10.862,41.9897,-0.146921,0.036087,0.995823,-23.0432,3.62512,85.8293,0,0.00195312,0,0,1.77785
1732390483064,-10.5142,45.6336,-0.142327,0.109737,0.926432,-22.84,-4.56177,84.1858,0,0.00195312,0,0,0.200409
1732390483064,-10.0532,49.1841,-0.127668,0.136633,0.939491,-15.3491,-2.5304,83.916,0,0.00195312,0,0,-1.43648
1732390483064,-9.31496,52.8718,-0.0979652,0.16716,0.969051,-11.7991,-0.614136,92.6975,0,0.00195312,0,0,-3.59201
1732390483064,-8.55661,57.0141,-0.073904,0.221119,0.915798,-1.11743,2.71985,103.503,0,0.00195312,0,0,-6.02377
1732390483064,-7.61061,61.4155,-0.118416,0.202349,0.973026,12.7206,-0.458862,110.887,0,0.00195312,0,0,-8.04312
1732390483064,-6.96913,65.9337,-0.0759554,0.221081,0.979057,9.92065,7.01233,110.81,0,0.00195312,0,0,-9.3325
1732390483064,-5.95377,70.3966,-0.102304,0.163332,0.984631,1.75256,-1.63574,108.902,0,0.00195312,0,0,-10.4623
1732390483064,-5.24813,0,0,0,0,0,0,0,0,0,0,0,0
1732390483066,74.4198,-0.0676422,0.248255,0.825611,4.61572,-2.70715,92.4858,0,0.00195312,0,0,-12.3905,-4.39843
1732390483066,78.7073,-0.101449,0.229288,0.914919,21.6565,-4.56055,80.7512,0,0.00195312,0,0,-13.3736,-3.80554
1732390483066,80.6763,-0.0939693,0.198133,0.946163,21.4572,-6.01416,64.0356,0,0.00195312,0,0,-14.0248,-3.38547
1732390483066,82.8074,-0.0904436,0.209702,0.950525,15.9139,-0.444702,50.2915,0,0.00195312,0,0,-13.6929,-3.29559
1732390483066,84.6082,-0.0432825,0.11965,1.12447,6.92493,9.14526,41.8126,-0.000976562,0.00195312,-0.0201564,0.00161695,-12.1058,-2.71297
1732390483066,86.1329,0.0229397,0.141911,1.11963,-14.8379,9.09094,30.8666,-0.000976562,0.00195312,0,0,-10.2762,-1.83222
1732390483066,87.1951,0.055336,0.0212173,1.16562,-10.8768,1.29272,19.4528,-0.000976562,0.00195312,0,0,-8.28168,-0.89019
