time,pitch,roll,yaw,ax,ay,az,gx,gy,gz,x,y,vx,vy
1732553747413,3.57556,-2.4455,0.000213623,-0.0428534,-0.062377,0.989677,0.113281,-0.0930176,0,0,0,0,0
1732553747413,3.59711,-2.44171,-0.000167847,-0.0427675,-0.0662546,0.989592,0.0565186,0.0935059,0,0,0,0,0
1732553747413,3.5985,-2.44285,-0.000167847,-0.0428534,-0.062377,0.989677,-0.0045166,0.0283203,0,0,0,0,0
1732553747413,3.6091,-2.4525,-0.000320435,-0.0428953,-0.0662565,0.993546,-0.178955,0.336426,0,0,0,0,0
1732553747413,3.60558,-2.44121,-0.000915527,-0.0429382,-0.0585003,0.989763,0.0534668,-0.0952148,0,0,0,0,0
1732553747413,3.57939,-2.46127,0.000152588,-0.0427675,-0.0662546,0.989592,-0.00195312,0.1521,0,0,0,0,0
1732553747413,3.58936,-2.47756,0.000213623,-0.0465927,-0.0584354,0.981705,-0.0643311,0.0262451,0,0,0,0,0
1732553747413,3.58922,-2.46595,-0.000183105,-0.0428534,-0.062377,0.989677,-0.0681152,0.0405273,0,0,0,0,0
1732553747413,3.5992,-2.45828,-0.00050354,-0.0388994,-0.0701933,0.99361,-0.0045166,0.0953369,0,0,0,0,0
1732553747413,3.61427,-2.46384,-0.000549316,-0.0428534,-0.062377,0.989677,-0.0107422,-0.214966,0,0,0,0,0
1732553747413,3.60248,-2.46937,-9.15527e-05,-0.0472336,-0.0584478,1.00147,-0.0675049,-0.0284424,0,0,0,0,0
1732553747413,3.61478,-2.46574,-0.000244141,-0.0429382,-0.0585003,0.989763,-0.06604,0.0324707,0,0,0,0,0
1732553747413,3.60913,-2.46389,4.57764e-05,-0.0468493,-0.0584402,0.989613,0.0548096,-0.101318,0,0,0,0,0
1732553747413,3.60335,-2.46616,9.15527e-05,-0.0431948,-0.0585051,0.997669,-0.060791,0.212891,0,0,0,0,0
1732553747413,3.60277,-2.46615,-0.000183105,-0.0431948,-0.0585051,0.997669,0.178345,0.0895996,0,0,0,0,0
1732553747413,3.58165,-2.46338,0.000274658,-0.0428953,-0.0662565,0.993546,0.0505371,-0.218994,0,0,0,0,0
1732553747413,3.57524,-2.45285,0.000198364,-0.039113,-0.0663185,0.997648,-0.00500488,0.0305176,0,0,0,0,0
1732553747413,3.55853,-2.45469,0.000640869,-0.0426817,-0.0701313,0.989506,0.178345,0.0227051,0,0,0,0,0
1732553747413,3.57303,-2.46512,0.000595093,-0.0427675,-0.0546179,0.981941,-0.00976562,-0.1521,0,0,0,0,0
1732553747413,3.58116,-2.46252,0.000152588,-0.0431519,-0.0546255,0.993801,0.0600586,0.213135,0,0,0,0,0
1732553747413,3.57741,-2.45412,-0.000183105,-0.0432806,-0.0546274,0.997755,0.000244141,0.21106,0,0,0,0,0
1732553747413,3.58043,-2.4538,-0.00050354,-0.0431948,-0.0585051,0.997669,-0.0701904,-0.152222,0,0,0,0,0
1732553747413,3.59154,-2.4547,-0.00062561,-0.0427246,-0.0623741,0.985723,-0.126343,0.0322266,0,0,0,0,0
1732553747413,3.59084,-2.45768,-0.000457764,-0.0429382,-0.0585003,0.989763,0.0548096,0.0327148,0,0,0,0,0
1732553747413,3.59416,-2.45817,-0.000350952,-0.0429811,-0.0623798,0.993631,0.0565186,0.0264893,0,0,0,0,0
1732553747413,3.58427,-2.45627,-0.000335693,-0.043067,-0.0585022,0.993717,0.0579834,0.0875244,0,0,0,0,0
1732553747413,3.5955,-2.4579,-0.000457764,-0.0388565,-0.0663137,0.989742,-0.186279,0.0300293,0,0,0,0,0
1732553747413,3.58455,-2.45609,-9.15527e-05,-0.0428534,-0.062377,0.989677,-0.0045166,0.0283203,0,0,0,0,0
1732553747413,3.58113,-2.44991,6.10352e-05,-0.039156,-0.0585613,0.993866,-0.00134277,0.150146,0,0,0,0,0
1732553747413,3.57675,0,0,0,0,0,0,0,0,0,0,0,0
1732553747425,-2.4519,0.000152588,-0.043067,-0.0585022,0.993717,0.059082,0.150146,0,0,0,0,0,3.57742
