time,pitch,roll,yaw,ax,ay,az,gx,gy,gz,x,y,vx,vy
1732389385706,3.75543,-2.87064,-132.898,-0.0507593,-0.0583811,0.989462,0.0510254,-0.027832,0,-0.00195312,0.00195312,0,0
1732389385769,3.75517,-2.85909,-132.899,-0.0546274,-0.0660791,0.993095,-0.00744629,0.0977783,0,-0.00195312,0.00195312,0,0
1732389385769,3.74707,-2.86433,-132.899,-0.0428534,-0.062377,0.989677,-0.0111084,-0.0218506,0,-0.00195312,0.00195312,0,0
1732389385830,3.74318,-2.89055,-132.898,-0.0546274,-0.0660791,0.993095,-0.0662842,0.225586,0,-0.00195312,0.00195312,0,0
1732389385894,3.74554,-2.88142,-132.898,-0.0547552,-0.066081,0.997049,-0.126221,0.223145,0,-0.00195312,0.00195312,0,0
1732389385894,3.73372,-2.89147,-132.898,-0.0504599,-0.0661335,0.985338,0.166382,-0.20813,0,-0.00195312,0.00195312,0,0
1732389385956,3.74374,-2.87321,-132.898,-0.0507593,-0.0583811,0.989462,-0.0657959,0.223389,0,-0.00195312,0.00195312,0,0
1732389386018,3.73819,-2.87742,-132.898,-0.0466776,-0.0661945,0.989441,-0.0668945,0.227417,0,-0.00195312,0.00195312,0,0
1732389386018,3.72404,-2.87228,-132.898,-0.0507593,-0.0583811,0.989462,-0.0740967,-0.145752,0,-0.00195312,0.00195312,0,0
1732389386079,3.73172,-2.85125,-132.899,-0.0544987,-0.0660763,0.989141,-0.0725098,-0.0849609,0,-0.00195312,0.00195312,0,0
1732389386142,3.72493,-2.83292,-132.899,-0.0466356,-0.0739517,0.993225,0.0488281,-0.0866699,0,-0.00195312,0.00195312,0,0
1732389386142,3.71169,-2.82931,-132.899,-0.0468922,-0.0623198,0.993481,-0.188721,0.164307,0,-0.00195312,0.00195312,0,0
1732389386209,3.73309,-2.82922,-132.9,-0.0505886,-0.0661354,0.989292,-0.0699463,0.0388184,0,-0.00195312,0.00195312,0,0
1732389386265,3.72531,-2.83097,-132.9,-0.0503321,-0.0661306,0.981384,-0.0710449,0.0429688,0,-0.00195312,0.00195312,0,0
1732389386265,3.72774,-2.8243,-132.9,-0.0506315,-0.0583792,0.98551,0.0482178,-0.0845947,0,-0.00195312,0.00195312,0,0
1732389386327,3.73718,-2.84389,-132.9,-0.0580673,-0.0698891,0.980999,0.0482178,-0.0845947,0,-0.00195312,0.00195312,0,0
1732389386389,3.73576,-2.85293,-132.9,-0.0506315,-0.070015,0.99316,-0.069458,0.0367432,0,-0.00195312,0.00195312,0,0
1732389386389,3.74487,-2.84932,-132.9,-0.0508881,-0.0583839,0.993416,-0.010498,-0.0909424,0,-0.00195312,0.00195312,0,0
1732389386451,3.7532,-2.85294,-132.9,-0.0506744,-0.0622587,0.989378,-0.126709,0.225342,0,-0.00195312,0.00195312,0,0
